关键词,出现次数
命理,151
八字,151
中国传统文化,151
命理学,112
神煞,59
吉凶,59
干支,25
地支,23
天干,18
十二长生,13
星运,13
十神,12
空亡,10
羊刃,5
术语,4
伤官,4
七杀,4
正官,4
长生,4
甲辰,4
驿马,4
偏财,3
正财,3
劫财,3
比肩,3
官星,3
乙木,3
乙亥,3
丧门,3
三命通会,3
甲子,3
乙巳,3
丙辰,3
丁酉,3
癸酉,3
甲午,3
乙卯,3
甲戌,3
纳音,3
中金,3
偏印,2
建禄格,2
食神,2
正印,2
印星,2
己土,2
癸水,2
亥卯未,2
戊土,2
申子辰,2
临冠,2
帝旺,2
冠带,2
庚子,2
天乙贵人,2
甲寅日,2
丙午,2
丁未,2
戊子,2
金神,2
壬申,2
华盖,2
吊客,2
披麻,2
辛卯,2
天德贵人,2
戊申,2
孤辰,2
隔角煞,2
桃花,2
禄神,2
乙丑,2
己巳,2
甲申,2
乙酉,2
丙戌,2
丁亥,2
甲寅,2
丁巳,2
丙寅,2
丁卯,2
乙未,2
丙申,2
甲乙,1
丙丁,1
戊己,1
庚辛,1
壬癸,1
七杀格,1
八字格局,1
命格,1
偏官,1
七煞,1
比劫,1
羊刃格,1
生我之神,1
生身,1
财星,1
煞星,1
辛金,1
寅卯辰,1
丙火,1
藏甲木主气,1
甲木,1
丁火,1
天干地支,1
阏逢,1
旃蒙,1
柔兆,1
进禄,1
临官,1
阳刃,1
沐浴,1
受气,1
五行,1
三奇贵人,1
甲戊庚,1
乙丙丁,1
九丑,1
丁酉日,1
戊子日,1
戊午日,1
亡神,1
刑煞,1
寅午戌,1
元辰,1
大耗,1
风煞,1
八专,1
乙卯日,1
丁未日,1
六厄,1
六秀,1
劫煞,1
大煞,1
勾绞煞,1
白虎,1
十恶大败,1
四废日,1
国印,1
地转,1
戊午,1
天医,1
天厨贵人,1
食神禄,1
天喜,1
天德合,1
天罗地网,1
天罗,1
地网,1
天赦,1
戊寅,1
天地转杀,1
天转,1
天地转煞,1
太极贵人,1
孤鸾煞,1
乙巳日,1
学堂,1
文星,1
寡宿,1
将星,1
德秀贵人,1
披头星,1
披麻星,1
披头,1
拱禄,1
文昌贵人,1
月德合,1
月德贵人,1
流霞,1
血煞,1
凶煞,1
灾煞,1
白虎煞,1
印绶,1
司禄星,1
福星贵人,1
甲丙相邀入,1
戌亥,1
童子煞,1
日干,1
红艳煞,1
红鸾,1
血刃,1
金舆,1
阴差阳错,1
丙子日,1
丙午日,1
丁丑日,1
飞刃,1
魁罡,1
天罡,1
地魁,1
戊戌日,1
旬中空亡,1
黄历,1
井泉水,1
剑锋金,1
戊寅己卯城,1
头土,1
城头土,1
壁上土,1
辛丑,1
戊辰,1
壬戌,1
癸亥,1
戊申己酉大,1
驿土,1
己酉,1
大驿土,1
戊午己未天,1
上火,1
丙午丁未天,1
河水,1
天河水,1
屋上土,1
山头火,1
戊戌己亥平,1
地木,1
平地木,1
杨柳木,1
壬午,1
癸未,1
松柏木,1
庚寅,1
壬子,1
癸丑,1
甲午乙未沙,1
甲子乙丑海,1
海中金,1
丙子丁丑涧,1
下水,1
涧下水,1
庚辰,1
辛巳,1
庚申,1
辛酉,1
上土,1
覆灯火,1
庚午辛未路,1
傍土,1
路傍土,1
壬寅癸卯金,1
箔金,1
金箔金,1
钗钏金,1
庚戌,1
辛亥,1
壬辰,1
癸巳,1
戊子己丑霹,1
雳火,1
